19958,2019-09-28,2104088
19958,2019-09-29,2104088
19958,2019-09-30,2104088
19958,2019-10-01,2104088
19958,2019-10-02,2034185
19958,2019-10-03,2034185
19958,2019-10-04,2034185
19958,2019-10-05,2034185
19958,2019-10-06,2034185
19958,2019-10-07,2030091
19958,2019-10-08,2030091
19958,2019-10-09,2030091
19958,2019-10-10,2030091
19958,2019-10-11,2030091
19958,2019-10-12,2030091
19958,2019-10-13,2096657
19958,2019-10-14,2096657
19958,2019-10-15,2096657
19958,2019-10-16,2096657
19958,2019-10-17,2096657
19958,2019-10-18,2096657
19958,2019-10-19,2138107
19958,2019-10-20,2138107
19958,2019-10-21,2138107
19958,2019-10-22,2138107
19958,2019-10-23,2138107
19958,2019-10-24,2138107
19958,2019-10-25,2188975
19958,2019-10-26,2188975
19958,2019-10-27,2188975
19958,2019-10-28,2188975
19958,2019-10-29,2188975
19958,2019-10-30,2237812
19958,2019-10-31,2237812
19958,2019-11-01,2237812
19958,2019-11-02,2237812
19958,2019-11-03,2237812
19958,2019-11-04,2285786
19958,2019-11-05,2285786
19958,2019-11-06,2285786
19958,2019-11-07,2285786
19958,2019-11-08,2285786
19958,2019-11-09,2285786
19958,2019-11-10,2285786
19958,2019-11-11,2366300
19958,2019-11-12,2366300
19958,2019-11-13,2366300
19958,2019-11-14,2366300
19958,2019-11-15,2366300
19958,2019-11-16,2366300
19958,2019-11-17,2366300
19958,2019-11-18,2366300
19958,2019-11-19,2423234
19958,2019-11-20,2423234
19958,2019-11-21,2423234
19958,2019-11-22,2423234
19958,2019-11-23,2423234
19958,2019-11-24,2423234
19958,2019-11-25,2423234
19958,2019-11-26,2448520
19958,2019-11-27,2448520
19958,2019-11-28,2448520
19958,2019-11-29,2448520
19958,2019-11-30,2448520
19958,2019-12-01,2448520
19958,2019-12-02,2448520
19958,2019-12-03,2448520
19958,2019-12-04,2491433
19958,2019-12-05,2491433
19958,2019-12-06,2491433
19958,2019-12-07,2491433
19958,2019-12-08,2491433
19958,2019-12-09,2491433
19958,2019-12-10,2491433
19958,2019-12-11,2566605
19958,2019-12-12,2566605
19958,2019-12-13,2566605
19958,2019-12-14,2566605
19958,2019-12-15,2566605
19958,2019-12-16,2566605
19958,2019-12-17,2566605
19958,2019-12-18,2523996
19958,2019-12-19,2523996
19958,2019-12-20,2523996
19958,2019-12-21,2523996
19958,2019-12-22,2523996
19958,2019-12-23,2523996
19958,2019-12-24,2523996
19958,2019-12-25,2482422
19958,2019-12-26,2482422
19958,2019-12-27,2482422
19958,2019-12-28,2482422
19958,2019-12-29,2482422
19958,2019-12-30,2482422
19958,2019-12-31,2482422
19958,2020-01-01,2475321
19958,2020-01-02,2475321
19958,2020-01-03,2475321
19958,2020-01-04,2475321
19958,2020-01-05,2475321
19958,2020-01-06,2475321
19958,2020-01-07,2475321
19958,2020-01-08,2491766
19958,2020-01-09,2491766
19958,2020-01-10,2491766
19958,2020-01-11,2491766
19958,2020-01-12,2491766
19958,2020-01-13,2491766
19958,2020-01-14,2519363
19958,2020-01-15,2519363
19958,2020-01-16,2519363
19958,2020-01-17,2519363
19958,2020-01-18,2519363
19958,2020-01-19,2519363
19958,2020-01-20,2426014
19958,2020-01-21,2426014
19958,2020-01-22,2426014
19958,2020-01-23,2426014
19958,2020-01-24,2426014
19958,2020-01-25,2426014
19958,2020-01-26,2426014
19958,2020-01-27,2337451
19958,2020-01-28,2337451
19958,2020-01-29,2337451
19958,2020-01-30,2337451
19958,2020-01-31,2337451
19958,2020-02-01,2337451
19958,2020-02-02,2276386
19958,2020-02-03,2276386
19958,2020-02-04,2276386
19958,2020-02-05,2276386
19958,2020-02-06,2276386
19958,2020-02-07,2189655
19958,2020-02-08,2189655
19958,2020-02-09,2189655
19958,2020-02-10,2189655
19958,2020-02-11,2189655
19958,2020-02-12,2189655
19958,2020-02-13,2189655
19958,2020-02-14,2100519
19958,2020-02-15,2100519
19958,2020-02-16,2100519
19958,2020-02-17,2100519
19958,2020-02-18,2100519
19958,2020-02-19,2012600
19958,2020-02-20,2012600
19958,2020-02-21,2012600
19958,2020-02-22,2012600
19958,2020-02-23,2012600
19958,2020-02-24,1920815
19958,2020-02-25,1920815
19958,2020-02-26,1920815
19958,2020-02-27,1920815
19958,2020-02-28,1920815
19958,2020-02-29,1849973
19958,2020-03-01,1849973
19958,2020-03-02,1849973
19958,2020-03-03,1849973
19958,2020-03-04,1849973
