player_count,ts
142084.0,1585426500000.0
126298.0,1585332000000.0
125709.0,1585331100000.0
122178.0,1585330200000.0
120611.0,1585329300000.0
118533.0,1585328400000.0
116624.0,1585327500000.0
116703.0,1585326600000.0
114972.0,1585325700000.0
114133.0,1585324800000.0
113888.0,1585323900000.0
112500.0,1585323000000.0
111017.0,1585322100000.0
108151.0,1585321200000.0
106140.0,1585320300000.0
104124.0,1585319400000.0
103401.0,1585318500000.0
99969.0,1585317600000.0
98082.0,1585316700000.0
96128.0,1585315800000.0
93421.0,1585314900000.0
91426.0,1585314000000.0
89396.0,1585313100000.0
86763.0,1585312200000.0
83787.0,1585311300000.0
81555.0,1585310400000.0
80232.0,1585309500000.0
78310.0,1585308600000.0
77007.0,1585307700000.0
76411.0,1585306800000.0
76781.0,1585305900000.0
76312.0,1585305000000.0
75695.0,1585304100000.0
75406.0,1585303200000.0
75229.0,1585302300000.0
74550.0,1585301400000.0
74353.0,1585300500000.0
74172.0,1585299600000.0
74309.0,1585298700000.0
74295.0,1585297800000.0
74098.0,1585296900000.0
73164.0,1585296000000.0
74520.0,1585295100000.0
75382.0,1585294200000.0
76411.0,1585293300000.0
78277.0,1585292400000.0
80140.0,1585291500000.0
82305.0,1585290600000.0
84361.0,1585289700000.0
86388.0,1585288800000.0
89144.0,1585287900000.0
91237.0,1585287000000.0
93792.0,1585286100000.0
96765.0,1585285200000.0
99758.0,1585284300000.0
102551.0,1585283400000.0
105401.0,1585282500000.0
107538.0,1585281600000.0
110193.0,1585280700000.0
113011.0,1585279800000.0
115439.0,1585278900000.0
117343.0,1585278000000.0
119265.0,1585277100000.0
120624.0,1585276200000.0
122172.0,1585275300000.0
123299.0,1585274400000.0
124522.0,1585273500000.0
125275.0,1585272600000.0
126303.0,1585271700000.0
126735.0,1585270800000.0
127812.0,1585269900000.0
128354.0,1585269000000.0
128458.0,1585268100000.0
129158.0,1585267200000.0
130380.0,1585266300000.0
131718.0,1585265400000.0
132607.0,1585264500000.0
132990.0,1585263600000.0
135385.0,1585262700000.0
136850.0,1585261800000.0
137744.0,1585260900000.0
139123.0,1585260000000.0
140300.0,1585259100000.0
141503.0,1585258200000.0
140987.0,1585257300000.0
141248.0,1585256400000.0
141596.0,1585255500000.0
141896.0,1585254600000.0
140496.0,1585253700000.0
138490.0,1585252800000.0
136678.0,1585251900000.0
133731.0,1585251000000.0
135186.0,1585250100000.0
133030.0,1585249200000.0
130615.0,1585248300000.0
127462.0,1585247400000.0
124884.0,1585246500000.0
126377.0,1585245600000.0
124653.0,1585244700000.0
122174.0,1585243800000.0
119378.0,1585242900000.0
117393.0,1585242000000.0
115636.0,1585241100000.0
113336.0,1585240200000.0
108767.0,1585239300000.0
102591.0,1585238400000.0
93062.0,1585237500000.0
74902.0,1585236600000.0
42311.0,1585235700000.0
7907.0,1585234800000.0
141.0,1585233900000.0
0.0,1585233000000.0
0.0,1585232100000.0
0.0,1585231200000.0
0.0,1585230300000.0
0.0,1585229400000.0
0.0,1585228500000.0
0.0,1585227600000.0
16786.0,1585226700000.0
49175.0,1585225800000.0
45364.0,1585224900000.0
42989.0,1585224000000.0
44336.0,1585223100000.0
38339.0,1585222200000.0
