"item_id","date","buy","sell","abuy","asell"
"5635","2019-09-04 04:30:00","0","30","0","1"
"22100","2019-09-05 23:00:00","0","50322000","0","1"
"5734","2019-09-07 05:30:00","0","250","0","1"
"8556","2019-09-10 12:00:00","0","50","0","1"
"5622","2019-09-13 03:30:00","0","23","0","1"
"831","2019-09-14 21:00:00","0","3","0","1"
"11412","2019-09-17 22:00:00","0","7467","0","1"
"9855","2019-09-18 00:00:00","0","1","0","1"
"11477","2019-09-19 22:00:00","0","130","0","1"
"7064","2019-09-22 04:00:00","0","129","0","1"
"5670","2019-09-22 13:30:00","0","1","0","1"
"874","2019-09-23 01:30:00","0","187","0","1"
"11431","2019-09-23 19:00:00","0","1","0","1"
"7441","2019-09-25 13:30:00","0","1447","0","1"
"10308","2019-09-27 04:30:00","0","3920","0","1"
"10308","2019-09-27 05:00:00","0","3920","0","1"
"5857","2019-09-27 16:30:00","0","278999","0","1"
"5833","2019-09-27 20:00:00","0","12416","0","1"
"12994","2019-09-27 21:30:00","0","100000","0","1"
"6167","2019-09-28 12:00:00","0","77","0","1"
"13038","2019-09-28 17:30:00","0","7105000","0","1"
"8925","2019-09-28 20:30:00","0","656","0","1"
"22734","2019-09-28 23:00:00","0","47671","0","1"
"20158","2019-09-28 23:30:00","0","120826","0","1"
"8924","2019-09-29 05:30:00","0","747","0","1"
"2165","2019-09-29 10:00:00","0","1","0","1"
"20059","2019-09-29 16:00:00","0","3051000","0","1"
"7435","2019-09-29 17:00:00","0","103","0","1"
"20110","2019-09-29 17:30:00","0","18003","0","1"
"10434","2019-09-29 19:00:00","0","1436","0","1"
"11280","2019-09-29 19:30:00","0","87397","0","1"
"3795","2019-09-29 19:30:00","0","773","0","1"
"1009","2019-09-29 21:00:00","0","60","0","1"
"10314","2019-09-29 21:00:00","0","6453","0","1"
"10564","2019-09-29 21:00:00","0","46000","0","1"
"1155","2019-09-29 21:00:00","0","12","0","1"
"1173","2019-09-29 21:00:00","0","10","0","1"
"1189","2019-09-29 21:00:00","0","33","0","1"
"11953","2019-09-29 21:00:00","0","179","0","1"
"11955","2019-09-29 21:00:00","0","264","0","1"
"1211","2019-09-29 21:00:00","0","220","0","1"
"12259","2019-09-29 21:00:00","0","16398","0","1"
"12261","2019-09-29 21:00:00","0","15497","0","1"
"12447","2019-09-29 21:00:00","0","12370","0","1"
"12462","2019-09-29 21:00:00","0","44076","0","1"
"12468","2019-09-29 21:00:00","0","44101","0","1"
"12478","2019-09-29 21:00:00","0","35686","0","1"
"12492","2019-09-29 21:00:00","0","315000","0","1"
"12494","2019-09-29 21:00:00","0","196018","0","1"
"12526","2019-09-29 21:00:00","0","1884000","0","1"
"12528","2019-09-29 21:00:00","0","45000","0","1"
"12616","2019-09-29 21:00:00","0","2682","0","1"
"12619","2019-09-29 21:00:00","0","144691","0","1"
"12831","2019-09-29 21:00:00","0","1188333","0","1"
"1287","2019-09-29 21:00:00","0","1021","0","1"
"12881","2019-09-29 21:00:00","0","3961179","0","1"
"1291","2019-09-29 21:00:00","0","4","0","1"
"12919","2019-09-29 21:00:00","0","2600","0","1"
"1297","2019-09-29 21:00:00","0","324","0","1"
"13036","2019-09-29 21:00:00","0","11100000","0","1"
"13271","2019-09-29 21:00:00","0","8025000","0","1"
"155","2019-09-29 21:00:00","0","20","0","1"
"1595","2019-09-29 21:00:00","0","45","0","1"
"1771","2019-09-29 21:00:00","0","700","0","1"
"1949","2019-09-29 21:00:00","0","493","0","1"
"1973","2019-09-29 21:00:00","0","55","0","1"
"19991","2019-09-29 21:00:00","0","33000","0","1"
"20149","2019-09-29 21:00:00","0","884582","0","1"
"20251","2019-09-29 21:00:00","0","500","0","1"
"21270","2019-09-29 21:00:00","0","6527004","0","1"
"21892","2019-09-29 21:00:00","0","4733333","0","1"
"22003","2019-09-29 21:00:00","0","28655006","0","1"
"22218","2019-09-29 21:00:00","0","3500","0","1"
"23037","2019-09-29 21:00:00","0","500","0","1"
"23197","2019-09-29 21:00:00","0","700000","0","1"
"23351","2019-09-29 21:00:00","0","19570000","0","1"
"23739","2019-09-29 21:00:00","0","1550","0","1"
"23745","2019-09-29 21:00:00","0","3027","0","1"
"23748","2019-09-29 21:00:00","0","1893","0","1"
"2458","2019-09-29 21:00:00","0","51","0","1"
"2587","2019-09-29 21:00:00","0","23551","0","1"
"2591","2019-09-29 21:00:00","0","230001","0","1"
"2593","2019-09-29 21:00:00","0","96943","0","1"
"2597","2019-09-29 21:00:00","0","202501","0","1"
"2609","2019-09-29 21:00:00","0","8344","0","1"
"309","2019-09-29 21:00:00","0","150","0","1"
"3345","2019-09-29 21:00:00","0","34","0","1"
"405","2019-09-29 21:00:00","0","612","0","1"
"5283","2019-09-29 21:00:00","0","10","0","1"
"5284","2019-09-29 21:00:00","0","4","0","1"
"5286","2019-09-29 21:00:00","0","33","0","1"
"5543","2019-09-29 21:00:00","0","5","0","1"
"638","2019-09-29 21:00:00","0","801","0","1"
"6809","2019-09-29 21:00:00","0","39501","0","1"
"7188","2019-09-29 21:00:00","0","12","0","1"
"7370","2019-09-29 21:00:00","0","6714","0","1"
"7380","2019-09-29 21:00:00","0","6308","0","1"
"9469","2019-09-29 21:00:00","0","122332","0","1"
"9743","2019-09-29 21:00:00","0","515","0","1"
"10051","2019-09-29 21:30:00","0","1705","0","1"
"1027","2019-09-29 21:30:00","0","400","0","1"
"1053","2019-09-29 21:30:00","0","4243","0","1"
"11079","2019-09-29 21:30:00","0","819","0","1"
"11286","2019-09-29 21:30:00","0","5350006","0","1"
"11812","2019-09-29 21:30:00","0","8403004","0","1"
"1195","2019-09-29 21:30:00","0","854","0","1"
"11953","2019-09-29 21:30:00","0","307","0","1"
"1211","2019-09-29 21:30:00","0","220","0","1"
"12193","2019-09-29 21:30:00","0","157900","0","1"
"12203","2019-09-29 21:30:00","0","17633","0","1"
"12265","2019-09-29 21:30:00","0","84201","0","1"
"12303","2019-09-29 21:30:00","0","1567","0","1"
"12307","2019-09-29 21:30:00","0","1706","0","1"
"1231","2019-09-29 21:30:00","0","17000","0","1"
"12345","2019-09-29 21:30:00","0","1100","0","1"
"12349","2019-09-29 21:30:00","0","1500","0","1"
"12387","2019-09-29 21:30:00","0","83801","0","1"
"12470","2019-09-29 21:30:00","0","37599","0","1"
"12482","2019-09-29 21:30:00","0","40575","0","1"
"12500","2019-09-29 21:30:00","0","289000","0","1"
"12508","2019-09-29 21:30:00","0","503777","0","1"
"12512","2019-09-29 21:30:00","0","81297","0","1"
"12520","2019-09-29 21:30:00","0","4000","0","1"
"12540","2019-09-29 21:30:00","0","14000","0","1"
"12613","2019-09-29 21:30:00","0","3250","0","1"
"12614","2019-09-29 21:30:00","0","3600","0","1"
"12619","2019-09-29 21:30:00","0","144686","0","1"
"1277","2019-09-29 21:30:00","0","25","0","1"
"12911","2019-09-29 21:30:00","0","377","0","1"
"12988","2019-09-29 21:30:00","0","5800","0","1"
"1307","2019-09-29 21:30:00","0","95","0","1"
"13153","2019-09-29 21:30:00","0","17500","0","1"
"13454","2019-09-29 21:30:00","0","800","0","1"
"13478","2019-09-29 21:30:00","0","1333","0","1"
"1442","2019-09-29 21:30:00","0","4001","0","1"
"1454","2019-09-29 21:30:00","0","560","0","1"
"1662","2019-09-29 21:30:00","0","2013","0","1"
"19592","2019-09-29 21:30:00","0","30000","0","1"
"19991","2019-09-29 21:30:00","0","33000","0","1"
"20026","2019-09-29 21:30:00","0","102000","0","1"
"20056","2019-09-29 21:30:00","0","1082111","0","1"
"20068","2019-09-29 21:30:00","0","1050000","0","1"
"20071","2019-09-29 21:30:00","0","4135000","0","1"
"20246","2019-09-29 21:30:00","0","3083","0","1"
"20251","2019-09-29 21:30:00","0","1233","0","1"
"20736","2019-09-29 21:30:00","0","19926","0","1"
