"item_id","date","buy","sell","abuy","asell"
"0",,,,,
"1",,,,,
"22",,,,,
"6128","2","4",,,
"8524","2018-11-02 04:00:00","0","1000","0","1"
"5849","2019-06-15 21:00:00","0","10000","0","1"
"11479","2019-07-19 00:00:00","0","58","0","1"
"5736","2019-07-22 05:30:00","0","100","0","1"
"5739","2019-07-24 01:30:00","0","250000","0","1"
"22100","2019-07-24 18:00:00","0","42000000","0","1"
"6167","2019-07-26 03:30:00","0","6000","0","1"
"5745","2019-07-27 17:30:00","0","2000","0","1"
"8556","2019-07-28 02:00:00","0","6","0","1"
"19964","2019-07-28 05:30:00","0","1000000","0","1"
"11507","2019-07-28 13:00:00","0","1023","0","1"
"1869","2019-07-28 14:30:00","0","15","0","1"
"7062","2019-07-28 23:30:00","0","29","0","1"
"11431","2019-07-29 00:00:00","0","435","0","1"
"9454","2019-07-29 23:00:00","0","75","0","1"
"23667","2019-07-30 22:00:00","0","129999999","0","1"
"21926","2019-07-31 03:00:00","0","1198","0","1"
"12757","2019-07-31 18:00:00","0","204839","0","1"
"11384","2019-07-31 20:00:00","0","5537","0","1"
"8927","2019-07-31 21:00:00","0","1500","0","1"
"11447","2019-08-01 01:00:00","0","5","0","1"
"23948","2019-08-01 08:00:00","0","201","0","1"
"835","2019-08-01 12:00:00","0","1","0","1"
"7435","2019-08-01 13:30:00","0","108","0","1"
"6171","2019-08-01 15:30:00","0","13","0","1"
"6891","2019-08-02 07:30:00","0","2224","0","1"
"23730","2019-08-02 13:00:00","0","3610","0","1"
"5638","2019-08-02 20:00:00","0","36","0","1"
"800","2019-08-03 02:00:00","0","15","0","1"
"11037","2019-08-03 21:00:00","0","155111","0","1"
"1199","2019-08-03 21:00:00","0","2927","0","1"
"12871","2019-08-03 21:00:00","0","15661","0","1"
"12877","2019-08-03 21:00:00","0","3230000","0","1"
"1305","2019-08-03 21:00:00","0","59352","0","1"
"13481","2019-08-03 21:00:00","0","2500","0","1"
"13490","2019-08-03 21:00:00","0","2488","0","1"
"1434","2019-08-03 21:00:00","0","29571","0","1"
"1452","2019-08-03 21:00:00","0","425","0","1"
"1725","2019-08-03 21:00:00","0","1201","0","1"
"1739","2019-08-03 21:00:00","0","103","0","1"
"1925","2019-08-03 21:00:00","0","7","0","1"
"19582","2019-08-03 21:00:00","0","940","0","1"
"21012","2019-08-03 21:00:00","0","113394998","0","1"
"21930","2019-08-03 21:00:00","0","1031","0","1"
"22284","2019-08-03 21:00:00","0","18673","0","1"
"2890","2019-08-03 21:00:00","0","176","0","1"
"4708","2019-08-03 21:00:00","0","101717","0","1"
"5354","2019-08-03 21:00:00","0","3","0","1"
"581","2019-08-03 21:00:00","0","1518","0","1"
"6585","2019-08-03 21:00:00","0","2449846","0","1"
"11095","2019-08-03 21:30:00","0","2202","0","1"
